id,slug,title_en,title_ja,category,difficulty,completeness,path
C01,power_tailgate_conditions,Power Tailgate Opening Conditions,パワーバックドア開条件,timed_response,intermediate,high,cases/C01_power_tailgate_conditions
C02,auto_window_antipinch,Auto Window Anti-Pinch,オートウインドウ挟み込み防止,fault_reaction,intermediate,high,cases/C02_auto_window_antipinch
C03,door_lock_speed_interlock,Door Lock Speed Interlock,ドアロック車速連動,timed_gated_capability,basic,high,cases/C03_door_lock_speed_interlock
C04,headlamp_auto_off_delay,Headlamp Auto-Off Delay,ヘッドランプ自動消灯遅延,timed_response,basic,high,cases/C04_headlamp_auto_off_delay
C05,rear_wiper_reverse_link,Rear Wiper Reverse Link,後ワイパリバース連動,contextual_trigger,basic,high,cases/C05_rear_wiper_reverse_link
C06,climate_defog_priority,Climate Defog Priority,空調デフロスト優先制御,multi_action_response,intermediate,high,cases/C06_climate_defog_priority
C07,battery_low_voltage_warning,Battery Low Voltage Warning,低電圧警告,threshold_monitoring,intermediate,high,cases/C07_battery_low_voltage_warning
C08,can_heartbeat_timeout,CAN Heartbeat Timeout Reaction,CANハートビートタイムアウト反応,fault_reaction,advanced,high,cases/C08_can_heartbeat_timeout
C09,seat_heater_auto_off,Seat Heater Auto-Off,シートヒータ自動オフ,timed_state_change,basic,high,cases/C09_seat_heater_auto_off
C10,steering_wheel_heater_auto_off,Steering Wheel Heater Auto-Off,ステアリングヒータ自動オフ,contextual_threshold,basic,high,cases/C10_steering_wheel_heater_auto_off
C11,lane_departure_warning,Lane Departure Warning,車線逸脱警報,multi_condition_alert,intermediate,high,cases/C11_lane_departure_warning
C12,parking_sensor_mute_state,Parking Sensor Mute State,パーキングセンサミュート状態,stateful_toggle,basic,high,cases/C12_parking_sensor_mute_state
C13,charge_flap_lock,Charge Flap Lock Control,充電フラップロック制御,contextual_locking,intermediate,high,cases/C13_charge_flap_lock
C14,keyless_entry_unlock,Keyless Entry Unlock,キーレスエントリ解錠,timed_secure_access,advanced,high,cases/C14_keyless_entry_unlock
C15,child_lock_shift_interlock,Child Lock Shift Interlock,チャイルドロックシフト連動,gated_capability,basic,high,cases/C15_child_lock_shift_interlock
C16,trailer_lamp_interface,Trailer Lamp Interface,トレーラランプインタフェース,interface_contract,intermediate,high,cases/C16_trailer_lamp_interface
C17,ota_update_preconditions,OTA Update Preconditions,OTA更新事前条件,multi_precondition,advanced,high,cases/C17_ota_update_preconditions
C18,regen_brake_inhibit_low_temp,Regenerative Brake Inhibit at Low Temperature,低温時回生制動抑制,contextual_threshold,advanced,high,cases/C18_regen_brake_inhibit_low_temp
C19,drive_mode_state_transition,Drive Mode State Transition,ドライブモード状態遷移,state_machine,advanced,high,cases/C19_drive_mode_state_transition
C20,washer_low_fluid_warning,Washer Low Fluid Warning,ウォッシャ液残量低下警告,threshold_monitoring,basic,high,cases/C20_washer_low_fluid_warning
